,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
122,246,1438,6765,120000,120000,120000,-2.932237962704039,-2.351659857493175,-1.715867291092809,0.3210477988225316
123,191,1233,6291,120000,120000,120000,-2.8200178930841853,-2.265988365729988,-1.6635142729677348,0.4529589025354759
124,233,1393,7146,120000,120000,120000,-2.855904355230159,-2.304675609934631,-1.6893334376139015,0.4509396751135058
125,214,1256,6628,120000,120000,120000,-2.777083710411997,-2.2820435959597383,-1.6416517802467812,0.4513725485629311
126,121,838,5109,120000,120000,120000,-2.8396794876013702,-2.2804839705870266,-1.6275552134661575,0.4620197673429276
127,134,981,5812,120000,120000,120000,-2.8812185979853884,-2.2935796179893417,-1.627500320535588,0.4401004036722298
128,347,1672,7683,120000,120000,120000,-2.7589568481405453,-2.2523501284972403,-1.651892076880717,0.458565791678016
129,176,1147,5905,120000,120000,120000,-2.910556776809537,-2.309285286487452,-1.701394870801594,0.4479517781561853
130,244,1463,7041,120000,120000,120000,-2.851081616990422,-2.297402283224766,-1.6961088863762832,0.4419835924979515
131,326,1689,7655,120000,120000,120000,-2.753050778309283,-2.260839747829541,-1.6613092112141268,0.4561780066052197
132,91,732,4197,120000,120000,120000,-2.89315971655388,-2.297155325534897,-1.6758281395501458,0.4436918728950457
133,157,944,5139,120000,120000,120000,-2.8563836158535745,-2.317873588634312,-1.688260385001372,0.4244646890238366
134,362,1725,7876,120000,120000,120000,-2.75158714743924,-2.243710840321896,-1.6495178250973574,0.4643720382606582
135,351,1902,9243,120000,120000,120000,-2.8583460499324134,-2.3077164042720755,-1.6622114743725314,0.4452717471970926
136,160,1062,5594,120000,120000,120000,-3.0037198990010423,-2.371829207449242,-1.678578323739238,-4.281433958039676e-07
137,364,1792,8069,120000,120000,120000,-2.7241348416695548,-2.2074562350541305,-1.6251840256849062,0.4756280733709787
138,245,1516,7444,120000,120000,120000,-2.8450152425680084,-2.299618485675232,-1.66591410268985,0.4479686160568102
139,231,1316,6714,120000,120000,120000,-2.78835274073119,-2.2729077670371174,-1.6316019089583689,0.4642432189678779
140,257,1462,6874,120000,120000,120000,-2.8719807349831026,-2.326379028722158,-1.7149647534698078,0.4300486274460246
141,219,1239,6747,120000,120000,120000,-2.832878363879364,-2.274832518226797,-1.636647314385386,0.462637950897072
142,279,1408,6656,120000,120000,120000,-2.7584483677353617,-2.2491039243283133,-1.6457885643700836,0.4534924887770204
143,246,1425,7499,120000,120000,120000,-2.8472914553858946,-2.324869363921513,-1.6748120511117837,0.4437833083958289
144,166,1066,5834,120000,120000,120000,-2.8252416839300207,-2.267085162854827,-1.627471171963219,0.4376422939764938
145,150,1046,5443,120000,120000,120000,-2.956269275298488,-2.3516481209375373,-1.7095581931205488,0.3519334631423733
146,189,1211,6476,120000,120000,120000,-2.885058867055132,-2.274837039833017,-1.6487902286434202,0.4561612632785641
147,129,893,5355,120000,120000,120000,-2.85399431615072,-2.2897272467566934,-1.610434500686286,0.4492219238297374
148,208,1204,6785,120000,120000,120000,-2.8280440598588945,-2.28986510593934,-1.6388733008463507,0.4603213629987406
149,167,1023,5280,120000,120000,120000,-2.8090691438061377,-2.2699980323350024,-1.6630998485526518,0.4506450836643867
150,355,1695,7673,120000,120000,120000,-2.7560082902101595,-2.2407373490555127,-1.6527358790567923,0.4567459473909827
151,130,977,5481,120000,120000,120000,-2.9999685926612227,-2.376273780844677,-1.7056543109157565,0.3530578060220173
152,309,1498,7104,120000,120000,120000,-2.788624617128421,-2.301103731802895,-1.690927540110469,0.4422719394830434
153,403,1961,8076,120000,120000,120000,-2.784111734642204,-2.285799587787502,-1.726995300455846,0.457874400531525
154,479,2160,8584,120000,120000,120000,-2.740322209534288,-2.2622510739946984,-1.691877107678109,0.4550195825271416
155,155,971,5436,120000,120000,120000,-2.855412639414714,-2.30626826516518,-1.6622301563083184,0.4283135747104367
156,260,1476,7467,120000,120000,120000,-2.9077427767952826,-2.339018292418647,-1.6702753400842665,0.3412524381751015
157,218,1458,7565,120000,120000,120000,-2.9852303508715945,-2.34450985831202,-1.6376633065378696,0.2067246567125781
158,218,1281,6702,120000,120000,120000,-2.803677141068309,-2.2876508406879594,-1.6363088509885166,0.4567926244926078
159,271,1340,6899,120000,120000,120000,-2.849705453411409,-2.323348449152724,-1.7088200113978138,0.4400330401033761
160,213,1317,7120,120000,120000,120000,-2.878327809992044,-2.269361893320095,-1.6160679572105765,0.432570433920533
161,209,1217,6699,120000,120000,120000,-2.859571757634367,-2.2863539041037297,-1.631167479506827,0.4566851692832628
162,352,1628,7871,120000,120000,120000,-2.768229800857672,-2.267351923624086,-1.6482477396628294,0.4620844563472717
163,130,810,4833,120000,120000,120000,-2.9176738422738664,-2.361761785366133,-1.6942784025963915,0.3735749408300786
164,215,1210,5851,120000,120000,120000,-2.8607477120579627,-2.2900638798739887,-1.6931932932733709,0.4478692825505663
165,261,1481,7707,120000,120000,120000,-2.838372471155922,-2.30820058108124,-1.6498837319613462,0.4702002545064827
166,365,1763,7501,120000,120000,120000,-2.740959090499333,-2.229510661795651,-1.6730177495656715,0.454995741683361
167,344,1722,8583,120000,120000,120000,-2.884382459716984,-2.345473769015218,-1.6911898021146397,0.4356725540476747
168,242,1353,6505,120000,120000,120000,-2.7711419547566813,-2.2277743850772,-1.6445749348141714,0.4593159642200698
169,183,1183,6163,120000,120000,120000,-2.89690543812284,-2.3276106606590368,-1.6771779363790025,0.4363886196678262
170,125,1044,5721,120000,120000,120000,-2.9198627249111637,-2.2864423431563856,-1.6428396060713746,0.4228105455890167
171,216,1241,6777,120000,120000,120000,-2.8233629558907043,-2.2710106883108763,-1.61802295993036,0.4615713231437856
172,216,1247,6902,120000,120000,120000,-2.8323937540033337,-2.2914578714104548,-1.6265425312350703,0.4566573746797154
173,218,1179,6372,120000,120000,120000,-2.858018130980969,-2.2983566470862757,-1.6580969534425924,0.447582627676961
174,368,1806,8058,120000,120000,120000,-2.832859578218782,-2.329437109219488,-1.715736431812768,0.4323442175572072
175,197,1141,6220,120000,120000,120000,-2.8446739099223555,-2.287998140038434,-1.6535650959656156,0.4691570143249097
176,168,990,5109,120000,120000,120000,-2.951483111804923,-2.38797997939281,-1.748352122335464,0.3162641170797895
177,101,646,4035,120000,120000,120000,-2.853425758917597,-2.320973156578693,-1.6744796693881412,0.438112722389667
178,244,1431,6952,120000,120000,120000,-2.843991891099641,-2.300906157718475,-1.7036928822458677,0.4441709009034102
179,141,986,5739,120000,120000,120000,-2.8532360406013835,-2.2805097411766706,-1.6260247640476848,0.4490600069913313
180,102,744,4589,120000,120000,120000,-2.871058762891458,-2.2920583821749085,-1.6390636484841463,0.4434418227947457
181,326,1692,7927,120000,120000,120000,-2.767178495403102,-2.2514046105149923,-1.6284353898345283,0.464491302133204
182,190,1064,5830,120000,120000,120000,-2.815305891007237,-2.2878212220137675,-1.638629851374914,0.4134438337979977
183,196,1220,6584,120000,120000,120000,-2.822012294860394,-2.2948707633762555,-1.6502683885162976,0.4594686655297721
184,289,1602,7053,120000,120000,120000,-2.8207668923671294,-2.278045159633653,-1.6881778640252578,0.4503884313202964
185,136,970,5622,120000,120000,120000,-2.894736826210744,-2.310220650346676,-1.650989039514858,0.4224413912615928
186,209,1214,6711,120000,120000,120000,-2.821016279030945,-2.30242540209021,-1.6397910091170476,0.4579375733640148
187,373,1759,7433,120000,120000,120000,-2.739686351668781,-2.258025421591112,-1.6649606391838727,0.4447575460923806
188,208,1275,6799,120000,120000,120000,-2.828503995316917,-2.287972950068313,-1.6345727965542556,0.4548941650544573
189,142,1101,6155,120000,120000,120000,-2.963753617487333,-2.329095863182008,-1.6525192969749831,0.3574847857568706
190,180,1107,5561,120000,120000,120000,-2.8731023362539125,-2.308478513460546,-1.684346190738251,0.3834676388728938
191,199,1054,5333,120000,120000,120000,-2.893682964436142,-2.363226102458867,-1.726702815357881,0.3235357920605148
192,162,1139,6254,120000,120000,120000,-2.8840985748853507,-2.293531298488893,-1.6656269770050325,0.4458729548714388
193,183,1225,6698,120000,120000,120000,-2.879944685468148,-2.2648527638974194,-1.637249502160684,0.4566649510097795
194,264,1494,7371,120000,120000,120000,-2.9064769615280053,-2.3356242821238693,-1.6758481458800585,0.3316760761301375
