gamma_0,w_0,gamma_1,w_1,gamma_2,w_2
-3.2272184259631564,0.26999475731644235,-2.399889984291418,0.3452929055633071,-1.8250068211464032,0.367580762624566
-2.734368786533181,0.6074618652088606,-2.1545125352688226,0.7229870121066947,-1.6448536269514729,0.5772422464170291
-2.9430461174127407,0.4062375154799468,-2.382404342382312,0.32709993951809685,-1.7335385038417948,0.45494283527053186
-2.5048596270829515,0.6410464994517527,-2.1807758452405013,0.6158706936717429,-1.589267557051392,0.5698148510146683
-2.994383558342588,0.16389048213498258,-2.399889984291418,0.23472738815643093,-1.7168860184310404,0.31267884499610576
-2.8408037178631944,0.35000558966231116,-2.2202765609095434,0.36945408231841514,-1.5220362417358562,0.4413647086490934
-3.129674664674361,0.26999065560509056,-2.619727709810245,0.42751684037256793,-1.8521798587690466,0.24083997792301906
-inf,0.0,-2.589913682701567,0.3147532410386999,-2.004654461765096,0.29771764729246114
-3.480756404346212,0.26999892570370787,-2.7477813854449926,0.32805312408728,-1.9599639845400545,0.3173832046889869
-2.58457180560991,0.4526965635856097,-2.191716272671173,0.4988817889637611,-1.4832801273356206,0.5539326248090637
-2.7477813854449926,0.4439739092786765,-2.16483922180398,0.5518613505851275,-1.6118251211466297,0.5048851032630651
-2.7477813854449926,0.36642416492625857,-2.1060501078562055,0.3543661794808038,-1.4795252050806593,0.40108375128423507
-2.641663404715812,0.2908523961914345,-2.1700903775845606,0.3246801930547548,-1.401716237057051,0.3763488733055186
-3.090232306167813,0.14234727610375392,-2.5121443279304616,0.24140832659659933,-1.6304804205924204,0.2961338793707028
-3.129674664674361,0.26999065560509056,-2.3263478740408408,0.4116420250394274,-1.6901461375274707,0.2921801388304089
-3.1746835274550755,0.26999282713843986,-2.5622380757521497,0.1652452518109265,-1.8184197631112666,0.3087819962542557
-2.9677379253417833,0.35585367201115436,-2.3494731492712106,0.3299114665697022,-1.6746648890243256,0.3642374777051921
-2.994383558342588,0.16389048213483332,-2.1700903775845606,0.48001486552156536,-1.5848518438340828,0.35116101801772076
-3.3706171843236503,0.26999782941254824,-2.437236408210091,0.4226541741554676,-1.8662957434581071,0.39488148587406574
-2.9200279443620203,0.48245174786139955,-2.3339183061836266,0.4941786141866237,-1.621082250852408,0.552082676052195
-3.129674664674361,0.2700093443949095,-2.4181417132227403,0.31616317168355773,-1.7743819103449574,0.3858915214027362
-2.9677379253417833,0.28475857832271634,-2.382404342382312,0.30790594263621385,-1.6901461375274707,0.3280201517308217
-2.9200279443620203,0.41589500857111256,-2.408915545815461,0.40725434001308614,-1.6164363711150211,0.42763692497212674
-3.055080661867739,0.4625228243393957,-2.304403566359463,0.34618339995996883,-1.5381988585840642,0.45884259197794774
-3.2272184259631564,0.26999475731644235,-2.6874494471514727,0.3114214744185756,-1.8250068211464032,0.3147731329098968
-2.9677379253417833,0.48774742782777525,-2.4181417132227403,0.4494727473441081,-1.7683644242721612,0.5471797110978955
-3.0233414397391476,0.25979631180425816,-2.4676584925406813,0.44053359308951234,-1.6695925772881872,0.412343902133944
-3.3706171843236503,0.27000217058745707,-2.408915545815461,0.4687353084498513,-1.7928306937637517,0.4643249241216222
-2.9677379253417833,0.25842313024744223,-2.2903678778552674,0.2880664855884452,-1.616436371115022,0.3675766446229961
-2.823516371236462,0.2631953664162347,-2.134522914059873,0.28526834922563254,-1.5141018876192835,0.26682527411598017
