,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
141,152,957,5623,120000,120000,120000,-2.834171072732625,-2.290226322144948,-1.635366335047304,0.4522558244408549
142,208,1205,6300,120000,120000,120000,-2.8212595953038506,-2.267052393085094,-1.6598151461407746,0.4564112911216054
143,217,1423,7493,120000,120000,120000,-2.959673955553586,-2.3519481148580663,-1.669147657651115,0.3465981568950427
144,385,1649,6354,120000,120000,120000,-2.725200752905309,-2.2585619265272925,-1.7327635886928667,0.445918966223053
145,214,1205,6284,120000,120000,120000,-2.814893019843709,-2.2676487973570003,-1.6642720101505923,0.4552763165359706
146,218,1364,7248,120000,120000,120000,-2.877188452073586,-2.3061549919399624,-1.6809134507412478,0.4580388224513359
147,190,1140,6151,120000,120000,120000,-2.8495024109701115,-2.2925035431020317,-1.6797250806261292,0.4467935203110906
148,152,913,5681,120000,120000,120000,-2.8607570672487004,-2.3267131693728897,-1.6431717703061868,0.4283369459058735
149,213,1249,6364,120000,120000,120000,-2.8250125920401263,-2.2558404683934503,-1.6562945148637755,0.4566822156817965
150,315,1608,8007,120000,120000,120000,-2.7995785044507016,-2.2749994392070185,-1.6414426522226986,0.4593989438472784
151,201,1313,7163,120000,120000,120000,-2.917123487084812,-2.283539946116296,-1.615652270906471,0.3986911684270234
152,243,1249,6618,120000,120000,120000,-2.772309409142349,-2.276426245770585,-1.651977196012002,0.455621665897967
153,279,1503,7466,120000,120000,120000,-2.824639515698579,-2.3008561344393312,-1.6653185098561083,0.4484397124910715
154,194,1283,6381,120000,120000,120000,-2.8850692807547267,-2.2729289377223423,-1.6533164326708545,0.4523483284622918
155,333,1776,7993,120000,120000,120000,-2.74733210557466,-2.228528308385963,-1.625012698627165,0.4667255734589322
156,201,1291,6505,120000,120000,120000,-2.8771773568453165,-2.263262338901947,-1.6534999712609917,0.449243511689808
157,176,1082,6103,120000,120000,120000,-2.864690245301007,-2.3223797912294915,-1.677196276874665,0.4341316820824479
158,218,1440,7468,120000,120000,120000,-2.972490897437577,-2.352651731998305,-1.666968728433681,0.307833270836063
159,198,1244,6591,120000,120000,120000,-2.798058774774307,-2.281531282239733,-1.646094002408881,0.4652539151126482
160,148,937,5334,120000,120000,120000,-3.0274152199636823,-2.4177130635755986,-1.7012320251036153,-2.9914693117511084e-07
161,264,1440,6507,120000,120000,120000,-2.708891226729916,-2.215589835271511,-1.646127342907566,0.4665861924385593
162,183,1089,5636,120000,120000,120000,-2.970408655490384,-2.386453194904301,-1.7177057538129856,0.2286057956696197
163,270,1437,7351,120000,120000,120000,-2.8632966384748326,-2.3041065683600195,-1.6771745306481591,0.4523786288449515
164,266,1585,7457,120000,120000,120000,-2.869872412537464,-2.2781649760538527,-1.6651581608840806,0.4528836480420772
165,291,1530,7341,120000,120000,120000,-2.8141954031122367,-2.2710494376160923,-1.6722762990974749,0.4567276303286129
166,248,1443,7039,120000,120000,120000,-2.867795045875537,-2.256372234725439,-1.5661839996983664,4.215522940706186e-06
167,193,1172,6535,120000,120000,120000,-2.8187362773882967,-2.294395381020716,-1.6556592922275797,0.4587817017944023
168,241,1386,7064,120000,120000,120000,-2.883818431329466,-2.3060424560341506,-1.6904232089334743,0.4544768453766103
169,212,1359,6677,120000,120000,120000,-2.8170860845980688,-2.245053483066654,-1.645676495721265,0.4621443242319463
170,173,1013,5782,120000,120000,120000,-2.8037293211058487,-2.2817288564564007,-1.6276282479264546,0.4684718133175423
171,212,1235,7003,120000,120000,120000,-2.8592042783326765,-2.2811016426698814,-1.6217523560481029,0.4508880133034424
172,291,1502,7173,120000,120000,120000,-2.8205388015070274,-2.3026889850682686,-1.6805551908516545,0.4475341630434333
173,285,1770,7944,120000,120000,120000,-2.841667538162379,-2.24024544169853,-1.63867635731222,0.4595749666118445
174,190,1147,6206,120000,120000,120000,-2.8316214290390542,-2.2993361190013077,-1.655896193767504,0.4588750075704905
175,246,1376,6764,120000,120000,120000,-2.787223841610822,-2.231137094735419,-1.63634530209796,0.4645571713090717
176,379,1894,8360,120000,120000,120000,-2.853174148599532,-2.3112209363402303,-1.7021930609064524,0.4387997327856439
177,159,903,5547,120000,120000,120000,-2.9743726638614785,-2.426660779176846,-1.7139109385195672,0.3038673717927578
178,357,1621,8158,120000,120000,120000,-2.756437512752166,-2.258539274153562,-1.6233720563365044,0.45868030776422
179,387,1949,8005,120000,120000,120000,-2.7988483825247483,-2.295377438902644,-1.7152503012194296,0.448440417351707
180,179,1098,6091,120000,120000,120000,-2.845030622160844,-2.304503105008396,-1.6780657994535573,0.4493379248378956
181,153,993,5645,120000,120000,120000,-2.8427526917378705,-2.286245462141145,-1.63830690333476,0.4435480902683091
182,248,1367,6687,120000,120000,120000,-2.772173765600158,-2.2292992778741327,-1.6422195441209424,0.4572034393870731
183,171,1118,6087,120000,120000,120000,-2.8854299425947705,-2.3078845285119325,-1.671814166352202,0.4429352915030978
184,191,1176,6305,120000,120000,120000,-2.822846056371639,-2.273577733524405,-1.6565654542996844,0.4609693397168222
185,215,1416,6993,120000,120000,120000,-2.996623244428718,-2.338587130542497,-1.6531126554030235,0.1337456628481774
186,495,2259,9160,120000,120000,120000,-2.7444181776983614,-2.2373738019462364,-1.660405375175939,0.4575639075521482
187,227,1261,6343,120000,120000,120000,-2.8378727109074,-2.2729438647828903,-1.6558943805971795,0.4533524452097688
188,215,1299,7024,120000,120000,120000,-2.8367813021684545,-2.276576342281851,-1.61422391208837,0.4584652679397938
189,167,1061,5857,120000,120000,120000,-2.8129610260995364,-2.259511435608535,-1.6188909340461426,0.4462511950780378
190,216,1320,6698,120000,120000,120000,-2.797646059203772,-2.2496783377396428,-1.643215539851203,0.4657207601347
191,223,1377,6640,120000,120000,120000,-2.823871508873551,-2.246842863332554,-1.6442412433960854,0.4615443698872527
192,164,988,5660,120000,120000,120000,-2.8110623626264646,-2.276967907560711,-1.6297513907842247,0.4530234465240315
193,203,1164,6205,120000,120000,120000,-2.842005274654934,-2.2961235446425787,-1.6829642556808335,0.4428366338779852
194,239,1384,7326,120000,120000,120000,-2.879472544682266,-2.2723227671302677,-1.5460279228131286,1.2411029362174693e-05
