w_0,gamma_0,gamma_1,gamma_2
0.4365205880371816,-2.9937705467704614,-2.3290083160901456,-1.64628055983238
0.41469884952651775,-3.082219686640926,-2.3824924934675895,-1.744497438663574
0.4273364607308913,-3.0180243281828374,-2.3565100910181216,-1.63630003162239
0.4261661117531418,-3.05642862355424,-2.3469870109999977,-1.6708197823792839
0.44439017752382987,-2.9637697043689837,-2.3250443477218217,-1.6753022219491858
0.39503029169659365,-3.0149197676440274,-2.3580728735119463,-1.6841833032034137
0.46241247121523593,-2.906233336515402,-2.2786833716208834,-1.6028411818344304
0.4527350323591144,-2.986538832812672,-2.3564677985444336,-1.6359004450895782
0.43593823968361556,-2.9999665805584717,-2.368023351986555,-1.6904729298220051
0.4123725658772545,-3.0542587511479056,-2.3352634672081085,-1.626841071971142
0.47925324155239596,-2.9466966313488228,-2.325448648325745,-1.638786327549799
0.4605363983184596,-2.959901091913581,-2.315311362005785,-1.6495351533662306
0.42209777603477294,-3.0224536522841334,-2.315640488220834,-1.6587675280034615
0.49612153466713027,-2.8951543857592887,-2.3052822412736793,-1.623598979444413
0.45942874948806917,-2.9148217530264593,-2.2978738815132385,-1.6394640515231926
0.4846264297939987,-2.9317276292170025,-2.2999323661565727,-1.6073807122405337
0.4689589649056788,-2.935010855821288,-2.261534551330159,-1.6047028454237298
0.4573103031332646,-2.9586946685409736,-2.3664814808137775,-1.705204908809621
0.45657319114208333,-3.014169166219418,-2.3166567900612023,-1.689250484235825
0.4673995127767062,-2.966270324969567,-2.3553638386680498,-1.7036514534761085
0.4113153388029901,-3.030839260592078,-2.2938872768131464,-1.6069311750244726
0.44210458873284886,-2.866517128856627,-2.2391820151404755,-1.5646626799023595
0.47785350533577825,-2.899514877498847,-2.2697056299085565,-1.6025609927563054
0.42649301539052287,-2.977857700424635,-2.3745538437148284,-1.664343405247296
0.4698081278610446,-2.859844897035801,-2.2087176509973356,-1.553719223804182
0.4123881462056257,-2.9143742981725813,-2.3206212280664085,-1.6234392545138894
0.4515720821408226,-2.9839661040771754,-2.2987797101954213,-1.6383047444067174
0.48477868686834513,-2.8539327912883117,-2.254372366831853,-1.5882840510680958
0.45060479524327246,-2.9936376205806,-2.320979257213837,-1.6589204282631822
0.4202575462226078,-3.02435725245178,-2.3636758673419243,-1.6918616856132391
0.49532083892326095,-2.8973754037122417,-2.309089825081004,-1.637937242730379
0.44777613030779784,-2.956272467385735,-2.2887025258307054,-1.613877276915503
0.470553806689141,-2.8896142022911095,-2.2680183927694806,-1.5887258282448398
0.45270706379354675,-2.952410597507308,-2.374460702450772,-1.7258581752268853
0.4406682181615363,-2.964049992947046,-2.32408132624294,-1.6552865842363413
0.44057797902738366,-2.9370867141096983,-2.3344272503386714,-1.6124412210351773
0.48148477259442596,-3.0331829093713716,-2.365248111434415,-1.6949912758220604
0.47329542965070265,-2.9986370095043497,-2.292867727537514,-1.5670287439040982
0.45687910798173875,-2.988767837769448,-2.3128057352974207,-1.6088519873807159
0.46801478488839837,-2.9835309937608234,-2.3379219562481004,-1.678589714270592
0.4466420803313257,-2.8930153617098546,-2.337035448078314,-1.6510009838569426
0.4360679741478442,-3.032061902318642,-2.3771091352375775,-1.6856187929376414
0.45483311424578665,-2.9737372807592557,-2.316424526882682,-1.6437507760643648
0.4052309941290742,-3.0359130964132963,-2.3801656943335217,-1.7055812151449916
0.4215182942386407,-2.9855807939549237,-2.3643195521894054,-1.6718309768563901
0.38321740333417403,-3.0249086698651917,-2.381871136729764,-1.6897165512913295
0.46074276799285074,-2.9835707474364526,-2.4031429616999276,-1.7021336137250225
0.4500784830386585,-2.989768224197349,-2.3941739021051616,-1.6681489964744223
0.4410862929740325,-2.9682802650028086,-2.3214050752986877,-1.6482228125702991
0.4735575105869019,-3.041343239123001,-2.360790567058458,-1.6640003836239965
0.4566717168802719,-2.9977748018181805,-2.3810992780392986,-1.6721414839314432
