,w_0,w_1,w_2,gamma_0,gamma_1,gamma_2
22,0.4437686484850618,0.395750531495555,0.4510767243970046,-3.0779613042981024,-2.3132514809798157,-1.5872035706391432
23,0.3966825704524676,0.3794737898734673,0.4805783027894431,-3.051929853880778,-2.365669441034252,-1.699181272909571
24,0.4843650634462406,0.4467481964252198,0.524326973166821,-2.8888665242488814,-2.2216691292484634,-1.7831869533632003
25,0.4900939598216335,0.475007616418439,0.4078480952065176,-3.097053995113834,-2.213420431071695,-1.5724976365623238
26,0.3380208418720456,0.4549050967906353,0.3705140210383811,-3.148924345169045,-2.5185442843641472,-1.8301160958687663
27,0.6231740610193831,0.4328269111416138,0.5393002047472175,-2.747683087221816,-2.254792416294616,-1.5301844862790068
28,0.3890172892900505,0.5064083656556151,0.478442783422801,-3.0057581651492966,-2.268570483341181,-1.5948319857950664
29,0.5366908342665901,0.4079096727859544,0.331559098208006,-3.40402059042495,-2.577646139161208,-1.8221302969342468
30,0.4811202662197066,0.3697797815123536,0.4147823251013196,-2.988673189449052,-2.5190256658429737,-1.790584058297469
31,0.5803738963663766,0.6004915081365787,0.5366386056473302,-2.994882165663041,-2.3150471612114867,-1.710908910547702
32,0.43097495180782,0.3776820623228256,0.4398350077110018,-2.8684808275777347,-2.2287676358298727,-1.546631543112701
33,0.5234138735201641,0.4312097953818545,0.3826272457198718,-2.9921169821186457,-2.454338657899896,-1.7608404404692188
34,0.1798483203452402,0.2439980072710178,0.4361007992543261,-3.0881246593129874,-2.558787705989297,-1.7794565001624174
35,0.5203678913941482,0.3985823004099062,0.4779524719561078,-3.1326165852405707,-2.447232485626805,-1.926667981849019
36,0.4666569257335429,0.4420068684951507,0.3988124493033618,-2.8352292952443685,-2.4859164050384845,-1.767915810661038
37,0.4884998000776618,0.6020177250999398,0.5048632019363328,-3.042109451713785,-2.190098636260804,-1.6108131840973268
38,0.260476874370899,0.4808154791685025,0.363184101809201,-2.9850078193106966,-2.347481130265999,-1.6691725318291275
39,0.589285199578737,0.4604329293479358,0.4541311782084031,-3.2267415387842777,-2.418011859256745,-1.8262173154322228
40,0.3704422230366094,0.4616409826888588,0.461018896636903,-3.0699913640586307,-2.4526949620996485,-1.6619477925595187
41,0.2981573230234752,0.5533776060958202,0.6039585349906798,-3.033842165012752,-2.2830157573535272,-1.646760396362014
42,0.5005334582378059,0.5342627499914554,0.495926988738401,-2.697914313301242,-1.999804612036119,-1.3779429384642543
43,0.5759486612456325,0.439305338620132,0.4027839002787577,-2.861976446798832,-2.128826452111779,-1.4802015829459505
44,0.3828077810485714,0.3714935912741113,0.4584088396681101,-3.0716563292692305,-2.332513191628961,-1.5652502190736777
45,0.3968283922639475,0.2646980192976211,0.3598787876304991,-2.876917756087728,-2.289945642099627,-1.506239849366027
46,0.3056447455700871,0.4327752504984001,0.3727744161728027,-2.932564062958545,-2.241895136754652,-1.47007198851564
47,0.2726413578818293,0.3364793956536271,0.2665638008219897,-2.932148605172872,-2.3714252883529423,-1.6098412145502607
48,0.4109453291772238,0.4647284967462172,0.3713542401182386,-2.9869845343599764,-2.321982291480525,-1.682431778873586
49,0.280832311321823,0.4636344401577126,0.4221893580903167,-3.067068451482634,-2.314770950433135,-1.642278616321937
50,0.3229247322270062,0.4390635054442194,0.414085242814237,-2.9114203284855806,-2.325947096165344,-1.61259024128257
51,0.6419803041622422,0.4285354252842709,0.4045060814612787,-3.4031911631149225,-2.4191592663738444,-1.7082188688034503
52,0.3678566704687631,0.4980325544342316,0.5689063794877374,-2.9793490067428143,-2.285679185146144,-1.5402575166635055
53,0.3684347231530142,0.4648091090735131,0.4576771098404981,-3.0561677691837223,-2.378768527753805,-1.7518837585905678
54,0.4979033269249522,0.4640629034532137,0.4613666858372228,-2.896924909067885,-2.194672028517293,-1.5833372947915714
55,0.4527917664248248,0.3746372905453048,0.5633621708634236,-2.8393529942679554,-2.3064624390171677,-1.5696482429985077
56,0.5729941180293223,0.4583665826741137,0.5167021431626925,-2.894254852236936,-2.3491220990895734,-1.7432970249232678
57,0.3096376133149008,0.2934265493731847,0.3684910151016375,-2.8882519237294777,-2.299237615411018,-1.654811131774511
58,0.3748956575285928,0.4155280207629364,0.4775335478030861,-2.906877845813184,-2.211665094505411,-1.5273853430357232
59,0.4385700657223403,0.4615547835650949,0.4500350824638517,-2.923656186879928,-2.406311203816589,-1.740479466307546
60,0.4969630495208271,0.3743740235181914,0.3931245337752123,-3.0195010491961414,-2.361586619791769,-1.757160341793594
61,0.6080715404195395,0.5690728394807784,0.458348654584729,-2.969960365582694,-2.435134919178265,-1.7564251486166134
62,0.4442278013710438,0.2608323044431924,0.3672805500558763,-3.249875721220156,-2.5194598170775127,-1.874551708059134
63,0.3672794768184808,0.3232261102233493,0.4733396139112664,-3.1708764723627803,-2.488897411554832,-1.8683428568636864
64,0.4068131415824257,0.571382523875389,0.5019172517089914,-3.0159839103603856,-2.199983075950592,-1.609013053805192
65,0.1581323918407385,0.4262266284382257,0.4488257170830197,-3.0883696411827257,-2.3294633245636485,-1.652400323688185
66,0.4233397654408483,0.3703609293460884,0.3447579658201891,-3.2904152787466217,-2.442488597942612,-1.7655363572122371
